epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.16110086939176302,0.47407464626181417,5e-05,0.801537,1183.8
1,0.13537031262734414,0.5113250113436957,0.0001,0.727686,1148.8
2,0.13203559514750227,0.5361143298143474,9.983093240383015e-05,0.690895,1163.7
3,0.1289997386310576,0.5288015775448457,9.932488451843476e-05,0.619921,1153.5
4,0.12642072097253962,0.5520702316048112,9.848531316399687e-05,0.615421,1175.2
5,0.12426722532818389,0.5317300962002915,9.73179534641814e-05,0.592440,1150.2
6,0.122265151929699,0.5008292317525185,9.583077966942534e-05,0.589844,1150.0
7,0.12027642342752294,0.5452238606761982,9.403395068472121e-05,0.585696,1133.4
8,0.11750563453016934,0.5679013865920919,9.193974067399516e-05,0.585199,1155.2
9,0.11565720264209584,0.5916954555309377,8.956245521512149e-05,0.587293,1142.1
10,0.11267180796491338,0.5628056805408375,8.691833357832002e-05,0.598036,1142.5
11,0.10920921631579733,0.5701787800901328,8.40254377954742e-05,0.616658,1135.2
12,0.10674356744202607,0.5831008627088448,8.090352927813856e-05,0.627152,1147.3
13,0.10423408959163825,0.5947806517055895,7.757393382706014e-05,0.650087,1135.4
14,0.09980208958624981,0.5132743224543893,7.405939595533516e-05,0.645627,1151.8
15,0.09741561337880206,0.6023663139916129,7.0383923520322e-05,0.660131,1049.5
16,0.0947747299751742,0.6095421424411578,6.657262372563184e-05,0.679786,645.2
17,0.09045138744828807,0.5960232299348505,6.265153161346956e-05,0.666641,632.1
18,0.08700593448591448,0.6153788913219043,5.864743221889634e-05,0.659077,629.1
19,0.08447898819486963,0.547857930919118,5.458767760088046e-05,0.673151,630.3
20,0.07981268456387364,0.5811948917936052,5.05e-05,0.663417,647.2
21,0.07666733432289201,0.618392005355958,4.6412322399119556e-05,0.663576,646.8
22,0.07370629564867238,0.5964255363714085,4.2352567781103665e-05,0.652922,646.7
23,0.07092785512302748,0.5559104325039443,3.834846838653045e-05,0.659107,656.2
24,0.06843978367749076,0.6022447156989077,3.442737627436817e-05,0.652763,651.2
25,0.06645545019246125,0.5859997098930414,3.0616076479678025e-05,0.660537,650.6
26,0.06443209073690534,0.587901177896428,2.6940604044664862e-05,0.638659,634.5
27,0.06165199570384195,0.5879227392656093,2.3426066172939882e-05,0.627368,637.5
28,0.05926653809679873,0.5987944104888749,2.0096470721861445e-05,0.603034,630.7
29,0.05766385497798359,0.6542796992293138,1.6974562204525823e-05,0.594406,621.0
30,0.05628743099281764,0.625813774495636,1.4081666421679987e-05,0.599738,619.0
31,0.05458355106220328,0.609998210301277,1.1437544784878524e-05,0.572119,617.8
32,0.05329984172644355,0.6107960706478908,9.060259326004838e-06,0.574436,616.9
33,0.05243297045800601,0.5981504082603959,6.966049315278797e-06,0.559929,614.8
34,0.051089128033563844,0.586875280930692,5.169220330574654e-06,0.550863,617.5
35,0.05087758844600755,0.5977938268840577,3.6820465358185853e-06,0.569515,638.4
36,0.04992395927661626,0.604145264378774,2.5146868360031462e-06,0.553111,641.4
37,0.04954745161633447,0.6003048955050492,1.675115481565245e-06,0.529140,634.9
38,0.049373272205432334,0.592956556317868,1.1690675961698423e-06,0.532270,626.6
39,0.04926927686411506,0.5937537700364846,1e-06,0.533102,626.8
