epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.6222670741854921,0.5080920045382538,5e-05,2.783948,583.7
1,0.5333220811836441,0.49612219920232004,0.0001,2.498222,582.0
2,0.5195261993947512,0.5134239754194515,9.983093240383015e-05,2.361166,579.8
3,0.5076427700428888,0.5212225748267476,9.932488451843476e-05,2.271902,579.4
4,0.4971384974228548,0.5660445306779935,9.848531316399687e-05,2.122155,579.1
5,0.49280322636638957,0.5622025945796196,9.73179534641814e-05,2.080635,579.2
6,0.4835911243266114,0.5585177230812453,9.583077966942534e-05,2.025699,579.1
7,0.47194624656233847,0.5065794843522575,9.403395068472121e-05,2.039965,578.6
8,0.46239634454884904,0.557898129307657,9.193974067399516e-05,2.032504,578.7
9,0.4555013200554505,0.5396687375224242,8.956245521512149e-05,1.975309,578.8
10,0.4428795592807662,0.5439964277320088,8.691833357832002e-05,2.025526,578.8
11,0.43404191359984234,0.5748322757014712,8.40254377954742e-05,2.104299,579.1
12,0.424978709739686,0.582019150034311,8.090352927813856e-05,2.120078,579.0
13,0.41154506397341595,0.5746020790829054,7.757393382706015e-05,2.145911,579.2
14,0.40149822786347467,0.5618884687195222,7.405939595533516e-05,2.163732,578.9
15,0.3916552354134523,0.5940105839349195,7.0383923520322e-05,2.279347,578.9
16,0.37844152495023975,0.5675594718569944,6.657262372563184e-05,2.269895,578.6
17,0.3683205707238135,0.5886335919782315,6.265153161346956e-05,2.369057,578.8
18,0.35279030953831236,0.5739077653892535,5.864743221889634e-05,2.280809,579.0
19,0.3407413997783918,0.6128032040148409,5.458767760088046e-05,2.353742,578.9
20,0.3338397840766363,0.6123698028781224,5.05e-05,2.328576,578.9
21,0.32080802914195644,0.6139244518532357,4.6412322399119556e-05,2.369011,578.6
22,0.31239065095876134,0.5834104926425594,4.2352567781103665e-05,2.355252,578.7
23,0.30022189625816975,0.6179167088409112,3.834846838653045e-05,2.325066,578.7
24,0.2907918695421213,0.6099022647243578,3.442737627436817e-05,2.379197,578.9
25,0.27852606776442657,0.6171395339809681,3.0616076479678025e-05,2.306191,578.8
26,0.27458000715236475,0.6173244620544123,2.6940604044664862e-05,2.317868,578.7
27,0.2629145567103817,0.5925205426749633,2.3426066172939882e-05,2.310283,578.7
28,0.25678086806741385,0.6276590984631889,2.0096470721861445e-05,2.287757,578.6
29,0.2509354036266713,0.6144570671790728,1.697456220452583e-05,2.239430,578.5
30,0.24492011702894917,0.6206733749428516,1.4081666421679987e-05,2.240919,578.6
31,0.2397175748266478,0.6376330888376341,1.1437544784878524e-05,2.186046,578.6
32,0.23504401318944357,0.6131492675197806,9.060259326004838e-06,2.198907,579.1
33,0.2308847329880847,0.631807828985358,6.966049315278797e-06,2.167008,579.5
34,0.22678879266559454,0.626306690121374,5.169220330574654e-06,2.112109,578.8
35,0.2251874937289553,0.6305882921675044,3.6820465358185853e-06,2.099960,578.5
36,0.2236367312654311,0.6233883381833641,2.5146868360031462e-06,2.105927,579.1
37,0.22168358472516378,0.626791910658209,1.675115481565245e-06,2.007962,578.7
38,0.22171120836876487,0.6318185502153271,1.1690675961698423e-06,2.033981,579.0
39,0.221239267532081,0.6295644106678644,1e-06,2.070494,579.2
